article_id,indicator1,indicator2,indicator3
5e8226d10dc171d3c93e73fc,"('redflag10', tensor([[0.1710]]))","('redflag11', tensor([[0.1676]]))","('redflag14', tensor([[0.1661]]))"
5e8225b70dc171d3c93e7321,"('redflag16', tensor([[0.1155]]))","('redflag17', tensor([[0.0964]]))","('redflag14', tensor([[0.0942]]))"
5e8226440dc171d3c93e7393,"('redflag17', tensor([[0.0898]]))","('redflag10', tensor([[0.0819]]))","('redflag14', tensor([[0.0787]]))"
5e8226f90dc171d3c93e740d,"('redflag10', tensor([[0.1070]]))","('redflag16', tensor([[0.1051]]))","('redflag14', tensor([[0.0962]]))"
5e8226af0dc171d3c93e73e0,"('redflag11', tensor([[0.1023]]))","('redflag14', tensor([[0.1022]]))","('redflag16', tensor([[0.0976]]))"
5e8227060dc171d3c93e7411,"('redflag11', tensor([[0.0593]]))","('redflag17', tensor([[0.0461]]))","('redflag10', tensor([[0.0415]]))"
5e8226880dc171d3c93e73bb,"('redflag9', tensor([[0.1131]]))","('redflag14', tensor([[0.1092]]))","('redflag17', tensor([[0.1086]]))"
5e8227060dc171d3c93e7412,"('redflag11', tensor([[0.0593]]))","('redflag17', tensor([[0.0461]]))","('redflag10', tensor([[0.0415]]))"
5e8227160dc171d3c93e741a,"('redflag11', tensor([[0.0490]]))","('redflag10', tensor([[0.0364]]))","('redflag9', tensor([[0.0361]]))"
5e8227160dc171d3c93e741b,"('redflag14', tensor([[0.0902]]))","('redflag17', tensor([[0.0795]]))","('redflag9', tensor([[0.0792]]))"
5e8227460dc171d3c93e7430,"('redflag9', tensor([[0.0414]]))","('redflag11', tensor([[0.0261]]))","('redflag10', tensor([[0.0221]]))"
5e8226f90dc171d3c93e740c,"('redflag9', tensor([[-0.0291]]))","('redflag18', tensor([[-0.0298]]))","('redflag10', tensor([[-0.0298]]))"
5e8227610dc171d3c93e7445,"('redflag18', tensor([[0.0576]]))","('redflag1', tensor([[0.0467]]))","('redflag5', tensor([[0.0447]]))"
5e82277e0dc171d3c93e7451,"('redflag16', tensor([[0.0329]]))","('redflag14', tensor([[0.0324]]))","('redflag8', tensor([[0.0257]]))"
5e8226f00dc171d3c93e7402,"('redflag14', tensor([[0.0999]]))","('redflag16', tensor([[0.0986]]))","('redflag18', tensor([[0.0886]]))"
5e8228150dc171d3c93e74cc,"('redflag11', tensor([[0.0780]]))","('redflag10', tensor([[0.0656]]))","('redflag9', tensor([[0.0550]]))"
5e8227270dc171d3c93e7424,"('redflag10', tensor([[0.0812]]))","('redflag16', tensor([[0.0695]]))","('redflag17', tensor([[0.0661]]))"
5e8228150dc171d3c93e74cb,"('redflag2', tensor([[0.0368]]))","('redflag11', tensor([[0.0237]]))","('redflag9', tensor([[0.0234]]))"
5e8228150dc171d3c93e74b8,"('redflag11', tensor([[0.0874]]))","('redflag8', tensor([[0.0707]]))","('redflag13', tensor([[0.0657]]))"
5e8227610dc171d3c93e7449,"('redflag18', tensor([[0.0576]]))","('redflag1', tensor([[0.0467]]))","('redflag5', tensor([[0.0447]]))"
5e8228150dc171d3c93e74cd,"('redflag16', tensor([[0.0181]]))","('redflag11', tensor([[0.0053]]))","('redflag8', tensor([[0.0014]]))"
5e8228150dc171d3c93e74c0,"('redflag11', tensor([[0.1147]]))","('redflag10', tensor([[0.1019]]))","('redflag18', tensor([[0.0938]]))"
5e8228150dc171d3c93e74c4,"('redflag11', tensor([[0.0848]]))","('redflag16', tensor([[0.0840]]))","('redflag10', tensor([[0.0821]]))"
5e8227c20dc171d3c93e74a2,"('redflag2', tensor([[0.0368]]))","('redflag11', tensor([[0.0237]]))","('redflag9', tensor([[0.0234]]))"
5e8227c20dc171d3c93e7497,"('redflag8', tensor([[0.1369]]))","('redflag17', tensor([[0.1361]]))","('redflag14', tensor([[0.1346]]))"
5e8228b90dc171d3c93e752c,"('redflag17', tensor([[0.1083]]))","('redflag5', tensor([[0.1063]]))","('redflag10', tensor([[0.1058]]))"
